album,artist,Archer,Dylan,Rachel,Trent,Archer Z,Dylan Z,Rachel Z,Trent Z,Average Z,Stdev Z
GENESIS FM,BNYX®,2,4,,3,-0.865436957,1.057852012,,0.274562667,0.155659241,0.967141992
深海,Natori,4,4,5,4,1.172527491,1.057852012,2.33457995,1.154778276,1.429934432,0.605199164
Motto,Itzy,2,2,2,2,-0.865436957,-0.551274992,-0.544735322,-0.605652942,-0.641775053,0.151587626
EXPERIMENTAL RAP,JPEGMAFIA,2,3,2,3,-0.865436957,0.25328851,-0.544735322,0.274562667,-0.220580276,0.574640407
"'PUREFLOW', Pt. 1",LE SSERAFIM,2,1,2,2,-0.865436957,-1.355838494,-0.544735322,-0.605652942,-0.842915929,0.369144125
Love is the New Gangsta,6LACK,3,4,3,5,0.153545267,1.057852012,0.415036436,2.034993885,0.9153569,0.837569772
Sulfur Surfer,Bladee,2,2,,3,-0.865436957,-0.551274992,,0.274562667,-0.380716428,0.588827185
Big Mama,Latto,2,3,2,3,-0.865436957,0.25328851,-0.544735322,0.274562667,-0.220580276,0.574640407
Detour,Kim Petras,2,2,,2,-0.865436957,-0.551274992,,-0.605652942,-0.674121631,0.167899988
Papercut,Imani Imani,4,4,,3,1.172527491,1.057852012,,0.274562667,0.834980723,0.488711484
Cry Baby,Vince Staples,3,5,,5,0.153545267,1.862415514,,2.034993885,1.350318222,1.040021612
BITCH,Lizzo,,2,,2,,-0.551274992,,-0.605652942,-0.578463967,0.038451017
Do That Again,Malcolm Todd,3,3,,2,0.153545267,0.25328851,,-0.605652942,-0.066273055,0.469771408
CITY GIRL,gabi belle,,3,,3,,0.25328851,,0.274562667,0.263925589,0.015043101
